Date,Open,High,Low,Close,Adj Close,Volume
2022-12-16,7175.000000,7175.000000,6800.000000,7025.000000,6730.562500,31899800
2022-12-19,6950.000000,7100.000000,6825.000000,6950.000000,6658.706055,18396200
2022-12-20,6900.000000,6925.000000,6750.000000,6775.000000,6491.041016,11320700
2022-12-21,6775.000000,6775.000000,6650.000000,6725.000000,6443.136230,10073700
2022-12-22,6725.000000,6750.000000,6650.000000,6725.000000,6443.136230,14300200
2022-12-23,6725.000000,6800.000000,6675.000000,6750.000000,6467.088867,9382500
2022-12-26,6800.000000,6825.000000,6700.000000,6800.000000,6514.993164,4903900
2022-12-27,6800.000000,6925.000000,6625.000000,6675.000000,6395.231934,21447500
2022-12-28,6700.000000,6700.000000,6600.000000,6675.000000,6395.231934,9087800
2022-12-29,6675.000000,6700.000000,6600.000000,6675.000000,6395.231934,4995800
2022-12-30,6675.000000,6675.000000,6550.000000,6575.000000,6299.423340,9125300
2023-01-02,6600.000000,6650.000000,6600.000000,6625.000000,6347.327637,4453300
2023-01-03,6625.000000,6700.000000,6600.000000,6700.000000,6419.184082,15497600
2023-01-04,6700.000000,6875.000000,6675.000000,6775.000000,6491.041016,16057900
2023-01-05,6800.000000,6875.000000,6650.000000,6700.000000,6419.184082,14572400
2023-01-06,6700.000000,7150.000000,6700.000000,7075.000000,6778.466797,21832100
2023-01-09,7100.000000,7200.000000,7050.000000,7175.000000,6874.275879,12903000
2023-01-10,7175.000000,7175.000000,6950.000000,7050.000000,6754.514648,10089800
2023-01-11,7050.000000,7150.000000,6925.000000,7000.000000,6706.610352,10540000
2023-01-12,7075.000000,7425.000000,7050.000000,7400.000000,7089.845215,26049500
2023-01-13,7350.000000,7400.000000,7200.000000,7200.000000,6898.228027,10994600
2023-01-16,7225.000000,7475.000000,7225.000000,7400.000000,7089.845215,11370500
2023-01-17,7375.000000,7400.000000,7175.000000,7225.000000,6922.180176,12056600
2023-01-18,7200.000000,7200.000000,6950.000000,7000.000000,6706.610352,18150900
2023-01-19,7000.000000,7175.000000,6975.000000,7125.000000,6826.371582,9340200
2023-01-20,7150.000000,7150.000000,7025.000000,7050.000000,6754.514648,6741100
2023-01-24,7125.000000,7175.000000,7050.000000,7100.000000,6802.418945,5254900
2023-01-25,7150.000000,7150.000000,7025.000000,7050.000000,6754.514648,4561000
2023-01-26,7150.000000,7350.000000,7125.000000,7325.000000,7017.988770,14976000
2023-01-27,7325.000000,7375.000000,7275.000000,7275.000000,6970.084473,6949400
2023-01-30,7250.000000,7275.000000,7150.000000,7225.000000,6922.180176,5415300
2023-01-31,7225.000000,7400.000000,7225.000000,7400.000000,7089.845215,15697900
2023-02-01,7400.000000,7450.000000,7275.000000,7325.000000,7017.988770,8356200
2023-02-02,7350.000000,7475.000000,7325.000000,7325.000000,7017.988770,10742900
2023-02-03,7350.000000,7350.000000,7250.000000,7275.000000,6970.084473,4333000
2023-02-06,7250.000000,7450.000000,7175.000000,7250.000000,6946.132324,11896400
2023-02-07,7250.000000,7275.000000,7175.000000,7250.000000,6946.132324,4979200
2023-02-08,7250.000000,7250.000000,7175.000000,7225.000000,6922.180176,3261400
2023-02-09,7250.000000,7500.000000,7250.000000,7325.000000,7017.988770,14621400
2023-02-10,7475.000000,7775.000000,7450.000000,7750.000000,7425.175781,26338000
2023-02-13,7700.000000,7725.000000,7550.000000,7600.000000,7281.462891,9772100
2023-02-14,7675.000000,7700.000000,7575.000000,7650.000000,7329.367188,4417000
2023-02-15,7650.000000,7650.000000,7475.000000,7625.000000,7305.415039,7725900
2023-02-16,7625.000000,7625.000000,7450.000000,7525.000000,7209.606445,4655500
2023-02-17,7550.000000,7575.000000,7400.000000,7425.000000,7113.797363,6631600
2023-02-20,7450.000000,7575.000000,7425.000000,7525.000000,7209.606445,4652300
2023-02-21,7550.000000,7625.000000,7475.000000,7575.000000,7257.510742,3918700
2023-02-22,7500.000000,7525.000000,7325.000000,7425.000000,7113.797363,4897500
2023-02-23,7425.000000,7625.000000,7400.000000,7625.000000,7305.415039,4110400
2023-02-24,7600.000000,7600.000000,7400.000000,7400.000000,7089.845215,5740100
2023-02-27,7400.000000,7450.000000,7250.000000,7375.000000,7065.893066,9114700
2023-02-28,7400.000000,7425.000000,7200.000000,7225.000000,6922.180176,10922900
2023-03-01,7225.000000,7325.000000,7200.000000,7250.000000,6946.132324,5717600
2023-03-02,7250.000000,7250.000000,7150.000000,7150.000000,6850.323730,7080600
2023-03-03,7150.000000,7275.000000,7150.000000,7175.000000,6874.275879,8810300
2023-03-06,7250.000000,7300.000000,7100.000000,7125.000000,6826.371582,7318000
2023-03-07,7150.000000,7200.000000,6975.000000,7075.000000,6778.466797,5743300
2023-03-08,7000.000000,7075.000000,6850.000000,6900.000000,6610.801758,9216900
2023-03-09,6925.000000,7025.000000,6875.000000,6925.000000,6634.753906,8277200
2023-03-10,6900.000000,6950.000000,6750.000000,6775.000000,6491.041016,10718700
2023-03-13,6750.000000,6750.000000,6600.000000,6625.000000,6347.327637,12126100
2023-03-14,6600.000000,6725.000000,6550.000000,6575.000000,6299.423340,8648200
2023-03-15,6625.000000,6700.000000,6125.000000,6175.000000,5916.188477,32999900
2023-03-16,6100.000000,6100.000000,5850.000000,6000.000000,5748.523438,22284900
2023-03-17,6000.000000,6100.000000,5950.000000,6100.000000,5844.332031,20019900
2023-03-20,6100.000000,6150.000000,6000.000000,6075.000000,5820.379883,8541800
2023-03-21,6125.000000,6275.000000,6075.000000,6250.000000,5988.044922,10872500
2023-03-24,6275.000000,6375.000000,6200.000000,6300.000000,6035.949219,11793200
2023-03-27,6325.000000,6325.000000,6225.000000,6250.000000,5988.044922,4664600
2023-03-28,6325.000000,6475.000000,6300.000000,6375.000000,6107.806152,6044200
2023-03-29,6400.000000,6475.000000,6350.000000,6375.000000,6107.806152,6110800
2023-03-30,6375.000000,6450.000000,6350.000000,6375.000000,6107.806152,4799200
2023-03-31,6400.000000,6450.000000,6300.000000,6300.000000,6035.949219,7199600
2023-04-03,6300.000000,6375.000000,6250.000000,6350.000000,6083.853516,4342200
2023-04-04,6350.000000,6375.000000,6225.000000,6375.000000,6107.806152,7546300
2023-04-05,6375.000000,6375.000000,6000.000000,6025.000000,5772.475586,28052300
2023-04-06,6075.000000,6125.000000,6000.000000,6025.000000,5772.475586,14761400
2023-04-10,6025.000000,6100.000000,6025.000000,6050.000000,5796.427734,7172600
2023-04-11,6050.000000,6175.000000,6050.000000,6150.000000,5892.236328,11200300
2023-04-12,6175.000000,6250.000000,6075.000000,6200.000000,5940.140625,10673700
2023-04-13,6200.000000,6250.000000,6100.000000,6100.000000,5844.332031,5257700
2023-04-14,6125.000000,6200.000000,6100.000000,6125.000000,5868.284180,7014500
2023-04-17,6125.000000,6175.000000,6000.000000,6050.000000,5796.427734,12547400
2023-04-18,6100.000000,6125.000000,6025.000000,6025.000000,5772.475586,12759200
2023-04-26,6075.000000,6075.000000,5950.000000,6025.000000,5772.475586,16861600
2023-04-27,6000.000000,6100.000000,6000.000000,6025.000000,5772.475586,14572100
2023-04-28,6050.000000,6075.000000,5925.000000,5950.000000,5700.618652,21384000
2023-05-02,5950.000000,6000.000000,5800.000000,5875.000000,5628.762207,24274000
2023-05-03,5875.000000,5950.000000,5800.000000,5850.000000,5604.810059,21341800
2023-05-04,5700.000000,5825.000000,5650.000000,5800.000000,5800.000000,19960000
2023-05-05,5800.000000,5800.000000,5625.000000,5700.000000,5700.000000,16448000
2023-05-08,5700.000000,5875.000000,5675.000000,5825.000000,5825.000000,17230700
2023-05-09,5875.000000,6150.000000,5850.000000,6125.000000,6125.000000,24426600
2023-05-10,6150.000000,6175.000000,6025.000000,6050.000000,6050.000000,9144300
2023-05-11,6075.000000,6100.000000,5825.000000,5875.000000,5875.000000,29845900
2023-05-12,5900.000000,5950.000000,5850.000000,5900.000000,5900.000000,12770000
2023-05-15,5900.000000,5900.000000,5775.000000,5850.000000,5850.000000,9901000
2023-05-16,5850.000000,5950.000000,5825.000000,5900.000000,5900.000000,7533500
2023-05-17,5925.000000,6025.000000,5925.000000,5925.000000,5925.000000,10772800
2023-05-19,5925.000000,6025.000000,5875.000000,5925.000000,5925.000000,10078300
2023-05-22,5925.000000,6100.000000,5925.000000,6050.000000,6050.000000,9107600
2023-05-23,6050.000000,6075.000000,5950.000000,5950.000000,5950.000000,12953800
2023-05-24,5950.000000,5975.000000,5900.000000,5925.000000,5925.000000,5858500
2023-05-25,5900.000000,5975.000000,5900.000000,5900.000000,5900.000000,8174100
2023-05-26,5950.000000,5975.000000,5900.000000,5900.000000,5900.000000,4980200
2023-05-29,5900.000000,5950.000000,5800.000000,5900.000000,5900.000000,10150400
2023-05-30,5900.000000,6025.000000,5900.000000,5900.000000,5900.000000,6233800
2023-05-31,5925.000000,5950.000000,5800.000000,5800.000000,5800.000000,29085600
2023-06-05,5750.000000,5925.000000,5700.000000,5825.000000,5825.000000,12517800
2023-06-06,5825.000000,5900.000000,5800.000000,5850.000000,5850.000000,7626500
2023-06-07,5875.000000,5900.000000,5775.000000,5850.000000,5850.000000,8369100
2023-06-08,5850.000000,5900.000000,5800.000000,5875.000000,5875.000000,6741600
2023-06-09,5875.000000,5950.000000,5850.000000,5925.000000,5925.000000,5821700
2023-06-12,5950.000000,6050.000000,5925.000000,6050.000000,6050.000000,11212000
2023-06-13,6100.000000,6100.000000,6000.000000,6000.000000,6000.000000,8181800
2023-06-14,6025.000000,6025.000000,5925.000000,5975.000000,5975.000000,6593800
2023-06-15,5975.000000,6100.000000,5975.000000,6075.000000,6075.000000,11462900
2023-06-16,6075.000000,6125.000000,6000.000000,6000.000000,6000.000000,13036700
2023-06-19,6025.000000,6100.000000,5950.000000,6000.000000,6000.000000,8320300
2023-06-20,6025.000000,6025.000000,5950.000000,6025.000000,6025.000000,3990100
2023-06-21,6000.000000,6050.000000,5950.000000,6025.000000,6025.000000,6447000
2023-06-22,6025.000000,6125.000000,6025.000000,6025.000000,6025.000000,10289000
2023-06-23,6050.000000,6225.000000,6050.000000,6125.000000,6125.000000,15710700
2023-06-26,6150.000000,6250.000000,6125.000000,6150.000000,6150.000000,10878200
2023-06-27,6200.000000,6200.000000,6075.000000,6075.000000,6075.000000,8246200
2023-07-03,6050.000000,6125.000000,6050.000000,6075.000000,6075.000000,5357400
2023-07-04,6075.000000,6125.000000,6025.000000,6075.000000,6075.000000,4332800
2023-07-05,6075.000000,6175.000000,6050.000000,6175.000000,6175.000000,6148500
2023-07-06,6200.000000,6250.000000,6150.000000,6250.000000,6250.000000,9365300
2023-07-07,6250.000000,6475.000000,6200.000000,6425.000000,6425.000000,19887700
2023-07-10,6450.000000,6475.000000,6375.000000,6425.000000,6425.000000,9604700
2023-07-11,6425.000000,6575.000000,6425.000000,6550.000000,6550.000000,15507800
2023-07-12,6550.000000,6625.000000,6500.000000,6500.000000,6500.000000,11668100
2023-07-13,6525.000000,6725.000000,6525.000000,6725.000000,6725.000000,22427600
2023-07-14,6800.000000,6925.000000,6725.000000,6875.000000,6875.000000,26507300
2023-07-17,6875.000000,6900.000000,6750.000000,6775.000000,6775.000000,12723700
2023-07-18,6800.000000,6850.000000,6650.000000,6775.000000,6775.000000,10925700
2023-07-20,6775.000000,6825.000000,6700.000000,6700.000000,6700.000000,6440300
2023-07-21,6700.000000,7050.000000,6500.000000,6950.000000,6950.000000,29539000
2023-07-24,6950.000000,7075.000000,6875.000000,6950.000000,6950.000000,13990300
2023-07-25,6975.000000,7125.000000,6950.000000,7000.000000,7000.000000,13293800
2023-07-26,7025.000000,7050.000000,6800.000000,6825.000000,6825.000000,8358500
2023-07-27,6825.000000,6900.000000,6675.000000,6675.000000,6675.000000,9332800
2023-07-28,6650.000000,6750.000000,6600.000000,6750.000000,6750.000000,5518200
2023-07-31,6800.000000,6975.000000,6700.000000,6975.000000,6975.000000,10793100
2023-08-01,6875.000000,6875.000000,6700.000000,6725.000000,6725.000000,7657700
2023-08-02,6725.000000,6975.000000,6650.000000,6825.000000,6825.000000,16698300
2023-08-03,6850.000000,7250.000000,6850.000000,7225.000000,7225.000000,36491300
2023-08-04,7225.000000,7225.000000,7025.000000,7075.000000,7075.000000,12539100
2023-08-07,7075.000000,7125.000000,6875.000000,6950.000000,6950.000000,10112300
2023-08-08,6925.000000,6975.000000,6800.000000,6850.000000,6850.000000,12971800
2023-08-09,6850.000000,6925.000000,6600.000000,6675.000000,6675.000000,26885900
2023-08-10,6675.000000,6750.000000,6650.000000,6650.000000,6650.000000,7660700
2023-08-11,6700.000000,6775.000000,6675.000000,6725.000000,6725.000000,7848200
2023-08-14,6775.000000,6850.000000,6700.000000,6850.000000,6850.000000,7277300
2023-08-15,6850.000000,6900.000000,6775.000000,6850.000000,6850.000000,5339200
2023-08-16,6850.000000,6925.000000,6775.000000,6925.000000,6925.000000,3655100
2023-08-18,6925.000000,6925.000000,6700.000000,6725.000000,6725.000000,9581000
2023-08-21,6725.000000,6800.000000,6675.000000,6700.000000,6700.000000,11999800
2023-08-22,6700.000000,6800.000000,6700.000000,6750.000000,6750.000000,5463900
2023-08-23,6750.000000,6825.000000,6725.000000,6725.000000,6725.000000,6978300
2023-08-24,6750.000000,7000.000000,6750.000000,6875.000000,6875.000000,19141200
2023-08-25,6900.000000,7000.000000,6875.000000,6875.000000,6875.000000,7441100
2023-08-28,6950.000000,6950.000000,6850.000000,6850.000000,6850.000000,1918600
2023-08-29,6875.000000,6925.000000,6825.000000,6875.000000,6875.000000,5150200
2023-08-30,6900.000000,6950.000000,6850.000000,6875.000000,6875.000000,6141100
2023-08-31,6900.000000,6925.000000,6775.000000,6800.000000,6800.000000,11044700
2023-09-01,6825.000000,6875.000000,6775.000000,6800.000000,6800.000000,3905100
2023-09-04,6825.000000,6950.000000,6750.000000,6775.000000,6775.000000,5524700
2023-09-05,6800.000000,6975.000000,6800.000000,6975.000000,6975.000000,10340100
2023-09-06,6975.000000,6975.000000,6875.000000,6875.000000,6875.000000,4497200
2023-09-07,6875.000000,6900.000000,6800.000000,6875.000000,6875.000000,3496800
2023-09-08,6875.000000,6925.000000,6800.000000,6925.000000,6925.000000,4613000
2023-09-11,6925.000000,7100.000000,6900.000000,7100.000000,7100.000000,8855600
2023-09-12,7100.000000,7100.000000,7000.000000,7025.000000,7025.000000,3803900
2023-09-13,7025.000000,7050.000000,6925.000000,6975.000000,6975.000000,4196500
2023-09-14,7000.000000,7050.000000,6950.000000,7000.000000,7000.000000,5283600
2023-09-15,7025.000000,7025.000000,6900.000000,7000.000000,7000.000000,6661200
2023-09-18,7000.000000,7025.000000,6875.000000,6875.000000,6875.000000,5554500
2023-09-19,6900.000000,6975.000000,6850.000000,6850.000000,6850.000000,4817500
2023-09-20,6875.000000,6950.000000,6850.000000,6875.000000,6875.000000,7999500
2023-09-21,6900.000000,6950.000000,6850.000000,6900.000000,6900.000000,2866700
2023-09-22,6900.000000,6900.000000,6850.000000,6850.000000,6850.000000,3635800
2023-09-25,6850.000000,6900.000000,6625.000000,6650.000000,6650.000000,9659700
2023-09-26,6650.000000,6750.000000,6525.000000,6550.000000,6550.000000,8460800
